th,lh1,lh2,lh3,lh4,lh5,ta,la1,la2,la3,la4,la5,diff
13.00,-0.25, 0.98,-3.97, 3.09, 0.66,14.00,-0.76, 0.23,-0.20,-0.56,-5.88, 0.00
18.00, 5.38, 4.70, 2.23, 6.93,-0.18, 8.00,-0.58,-0.66,-0.51,-0.48, 0.96, 4.00
 7.00,-3.48, 0.03, 0.24, 0.20,-0.27,11.00, 1.36,-0.25, 0.98,-3.97, 3.09,-1.00
12.00, 0.19, 2.73,-0.29, 3.97, 0.56,13.00, 6.35,-4.70, 0.51,-0.25, 0.79, 1.00
 1.00,-1.26, 0.25,-2.34,-3.68,-5.46, 3.00, 0.87, 0.78,-0.24, 1.36, 0.18, 0.00
15.00, 0.78, 0.76, 0.29, 3.68, 8.66, 6.00,-0.19,-4.66,-0.23,-1.03, 5.46, 0.00
10.00, 1.09, 4.66,-0.98,-0.71,-8.66, 2.00, 3.48,-4.61, 1.52,-6.93, 1.02,-2.00
 5.00,-6.35, 4.61, 1.19, 0.64,-3.09,17.00, 1.26, 1.82,-2.23, 0.48, 1.52, 1.00
14.00, 0.64,-0.76, 0.23,-0.20,-0.56,16.00, 1.21,-2.73, 2.34, 0.71, 0.27, 1.00
 9.00, 0.58,-0.78, 0.53, 1.03, 1.22, 4.00,-5.38, 0.66, 0.81, 0.25,-1.52, 1.00
18.00, 5.85, 5.38, 4.70, 2.23, 6.93, 5.00, 0.41,-0.19,-4.66,-0.23,-1.03,-1.00
16.00, 1.53, 0.64,-0.76, 0.23,-0.20, 2.00, 0.36, 3.48,-4.61, 1.52,-6.93, 0.00
 1.00, 0.69,-1.26, 0.25,-2.34,-3.68, 3.00,-0.71,-5.38, 0.66, 0.81, 0.25, 0.00
14.00, 1.48, 0.78, 0.76, 0.29, 3.68, 4.00, 1.30, 0.87, 0.78,-0.24, 1.36, 2.00
15.00,-1.53, 1.21,-2.73, 2.34, 0.71,12.00, 0.86, 1.36,-0.25, 0.98,-3.97, 0.00
 9.00,-0.36, 1.09, 4.66,-0.98,-0.71,10.00,-0.76, 6.35,-4.70, 0.51,-0.25, 3.00
13.00, 0.76, 0.19, 2.73,-0.29, 3.97,17.00,-0.84, 1.26, 1.82,-2.23, 0.48,-1.00
 8.00, 0.84,-6.35, 4.61, 1.19, 0.64,11.00, 0.71, 0.58,-0.78, 0.53, 1.03,-2.00
 7.00,-0.86,-3.48, 0.03, 0.24, 0.20, 6.00,-5.85,-0.58,-0.66,-0.51,-0.48, 1.00
17.00, 4.56,-0.84, 1.26, 1.82,-2.23,15.00, 0.84, 1.53, 0.64,-0.76, 0.23, 4.00
13.00, 0.24, 0.71, 0.58,-0.78, 0.53,18.00,-0.24, 5.85, 5.38, 4.70, 2.23,-4.00
 9.00,-6.57,-0.76, 6.35,-4.70, 0.51, 8.00, 0.25,-0.86,-3.48, 0.03, 0.24, 1.00
 4.00, 1.27,-0.71,-5.38, 0.66, 0.81,10.00, 6.57,-0.36, 1.09, 4.66,-0.98,-2.00
12.00, 0.85, 0.86, 1.36,-0.25, 0.98,16.00, 0.45, 1.48, 0.78, 0.76, 0.29, 1.00
 5.00,-0.25,-5.85,-0.58,-0.66,-0.51, 6.00,-0.24, 0.84,-6.35, 4.61, 1.19, 0.00
 7.00, 0.24, 0.41,-0.19,-4.66,-0.23,14.00, 1.14,-1.53, 1.21,-2.73, 2.34,-1.00
 3.00,-0.45, 1.30, 0.87, 0.78,-0.24,11.00,-4.56, 0.76, 0.19, 2.73,-0.29, 0.00
 2.00, 1.17, 0.36, 3.48,-4.61, 1.52, 1.00, 0.71, 0.69,-1.26, 0.25,-2.34, 0.00
11.00, 0.92,-4.56, 0.76, 0.19, 2.73, 3.00, 1.16, 1.17, 0.36, 3.48,-4.61,-2.00
13.00,-6.62, 0.84, 1.53, 0.64,-0.76, 2.00,-0.31, 1.27,-0.71,-5.38, 0.66, 2.00
 1.00, 0.83, 0.71, 0.69,-1.26, 0.25, 9.00, 3.47,-6.57,-0.76, 6.35,-4.70, 1.00
15.00,-0.21, 0.45, 1.48, 0.78, 0.76,17.00, 6.62, 4.56,-0.84, 1.26, 1.82,-1.00
16.00, 5.12, 1.14,-1.53, 1.21,-2.73, 4.00, 1.08,-0.45, 1.30, 0.87, 0.78, 4.00
 7.00,-5.12, 0.24, 0.41,-0.19,-4.66,14.00, 0.21, 0.85, 0.86, 1.36,-0.25,-1.00
 8.00,-3.47, 0.25,-0.86,-3.48, 0.03,10.00,-4.99, 0.24, 0.71, 0.58,-0.78, 0.00
12.00, 0.31, 6.57,-0.36, 1.09, 4.66, 5.00, 1.09,-0.25,-5.85,-0.58,-0.66, 2.00
 6.00, 0.92,-0.24, 0.84,-6.35, 4.61,18.00, 4.99,-0.24, 5.85, 5.38, 4.70,-3.00
 6.00,-10.34, 0.92,-0.24, 0.84,-6.35, 8.00, 1.27,-3.47, 0.25,-0.86,-3.48, 0.00
 3.00,-4.18, 1.08,-0.45, 1.30, 0.87,15.00, 0.25, 0.21, 0.85, 0.86, 1.36, 2.00
 5.00, 0.36, 1.16, 1.17, 0.36, 3.48, 7.00,-0.25,-5.12, 0.24, 0.41,-0.19, 0.00
11.00, 0.74,-4.99, 0.24, 0.71, 0.58,14.00, 3.34,-6.62, 0.84, 1.53, 0.64, 1.00
 9.00,-0.62, 3.47,-6.57,-0.76, 6.35,12.00,-0.21,-0.21, 0.45, 1.48, 0.78, 2.00
 2.00,-3.34,-0.31, 1.27,-0.71,-5.38,10.00,-0.36, 0.92,-4.56, 0.76, 0.19,-1.00
18.00,10.34, 4.99,-0.24, 5.85, 5.38,13.00, 1.16, 0.31, 6.57,-0.36, 1.09, 1.00
17.00, 0.21, 6.62, 4.56,-0.84, 1.26,16.00, 4.18, 5.12, 1.14,-1.53, 1.21,-3.00
 4.00,-1.16, 1.09,-0.25,-5.85,-0.58, 1.00, 0.62, 0.83, 0.71, 0.69,-1.26, 3.00
12.00,-3.56, 1.16, 0.31, 6.57,-0.36,13.00, 0.59, 0.74,-4.99, 0.24, 0.71, 2.00
 8.00, 1.00, 1.27,-3.47, 0.25,-0.86,18.00, 3.56,10.34, 4.99,-0.24, 5.85, 2.00
10.00, 2.53,-0.36, 0.92,-4.56, 0.76, 7.00, 0.97,-1.16, 1.09,-0.25,-5.85,-2.00
14.00,-0.59, 3.34,-6.62, 0.84, 1.53, 9.00, 0.26,-0.62, 3.47,-6.57,-0.76, 0.00
 1.00,-0.97, 0.62, 0.83, 0.71, 0.69, 5.00, 0.99,-10.34, 0.92,-0.24, 0.84, 1.00
 6.00, 1.40,-0.25,-5.12, 0.24, 0.41, 3.00, 0.84,-4.18, 1.08,-0.45, 1.30, 1.00
16.00, 1.52, 4.18, 5.12, 1.14,-1.53, 2.00,-2.53,-3.34,-0.31, 1.27,-0.71, 2.00
15.00,-0.84, 0.25, 0.21, 0.85, 0.86,17.00,-1.52, 0.21, 6.62, 4.56,-0.84,-3.00
11.00,-0.26,-0.21,-0.21, 0.45, 1.48, 4.00, 0.59, 0.36, 1.16, 1.17, 0.36, 2.00
10.00, 1.05, 0.26,-0.62, 3.47,-6.57,16.00, 4.95, 1.52, 4.18, 5.12, 1.14, 1.00
 3.00,-0.65, 0.84,-4.18, 1.08,-0.45,13.00, 0.95,-0.59, 3.34,-6.62, 0.84,-1.00
 4.00,-7.44, 0.59, 0.36, 1.16, 1.17,12.00,-1.23,-0.84, 0.25, 0.21, 0.85, 1.00
 2.00,-4.95,-2.53,-3.34,-0.31, 1.27, 8.00, 0.55, 1.00, 1.27,-3.47, 0.25, 0.00
 7.00, 0.48, 0.97,-1.16, 1.09,-0.25,14.00, 7.44,-0.26,-0.21,-0.21, 0.45,-1.00
11.00,-1.35, 0.59, 0.74,-4.99, 0.24, 9.00,-0.48, 2.53,-0.36, 0.92,-4.56, 1.00
18.00,-0.55, 3.56,10.34, 4.99,-0.24, 1.00, 0.59,-0.97, 0.62, 0.83, 0.71, 3.00
17.00, 1.23,-1.52, 0.21, 6.62, 4.56, 6.00, 0.65, 1.40,-0.25,-5.12, 0.24, 6.00
 5.00,-0.59, 0.99,-10.34, 0.92,-0.24,15.00, 1.35,-3.56, 1.16, 0.31, 6.57,-5.00
14.00, 0.29, 7.44,-0.26,-0.21,-0.21, 2.00, 1.32,-4.95,-2.53,-3.34,-0.31, 1.00
13.00, 0.28, 0.95,-0.59, 3.34,-6.62, 4.00,-4.73,-0.59, 0.99,-10.34, 0.92, 3.00
 1.00,-4.36, 0.59,-0.97, 0.62, 0.83,12.00, 1.96,-1.35, 0.59, 0.74,-4.99, 0.00
16.00,-3.18, 4.95, 1.52, 4.18, 5.12, 5.00, 0.27,-7.44, 0.59, 0.36, 1.16, 3.00
 6.00,-2.89, 0.65, 1.40,-0.25,-5.12, 7.00,-0.29, 0.48, 0.97,-1.16, 1.09, 0.00
10.00,-0.27,-1.23,-0.84, 0.25, 0.21,11.00, 3.18, 1.05, 0.26,-0.62, 3.47, 2.00
 9.00,-1.96,-0.48, 2.53,-0.36, 0.92,18.00, 4.36,-0.55, 3.56,10.34, 4.99,-1.00
 8.00, 0.71, 0.55, 1.00, 1.27,-3.47,15.00, 4.73, 1.35,-3.56, 1.16, 0.31,-1.00
 3.00,-0.28,-0.65, 0.84,-4.18, 1.08,17.00, 2.89, 1.23,-1.52, 0.21, 6.62, 0.00
 5.00,-4.90, 0.27,-7.44, 0.59, 0.36, 4.00, 0.94,-0.28,-0.65, 0.84,-4.18,-1.00
18.00, 5.92, 4.36,-0.55, 3.56,10.34,16.00, 4.90,-3.18, 4.95, 1.52, 4.18, 0.00
 8.00,-0.22, 0.71, 0.55, 1.00, 1.27, 1.00, 0.89,-4.36, 0.59,-0.97, 0.62, 1.00
 3.00,-0.46,-4.73,-0.59, 0.99,-10.34, 9.00,-5.92,-1.96,-0.48, 2.53,-0.36,-3.00
15.00, 0.22, 4.73, 1.35,-3.56, 1.16,14.00, 0.46, 0.28, 0.95,-0.59, 3.34, 0.00
 7.00, 0.30,-0.29, 0.48, 0.97,-1.16,12.00, 0.62,-0.27,-1.23,-0.84, 0.25, 1.00
 2.00,-3.30, 1.32,-4.95,-2.53,-3.34, 6.00, 1.72,-2.89, 0.65, 1.40,-0.25, 1.00
11.00, 1.07, 1.96,-1.35, 0.59, 0.74,13.00, 3.30, 0.29, 7.44,-0.26,-0.21,-1.00
13.00, 0.63, 0.46, 0.28, 0.95,-0.59, 7.00, 0.23, 0.30,-0.29, 0.48, 0.97, 1.00
15.00, 0.88, 3.30, 0.29, 7.44,-0.26,18.00, 1.47, 5.92, 4.36,-0.55, 3.56, 0.00
12.00,-0.23, 0.62,-0.27,-1.23,-0.84, 2.00, 4.16,-3.30, 1.32,-4.95,-2.53, 0.00
 6.00,-4.16, 1.72,-2.89, 0.65, 1.40, 3.00,-2.12,-0.46,-4.73,-0.59, 0.99, 2.00
16.00, 0.51, 4.90,-3.18, 4.95, 1.52,11.00,-0.88, 1.07, 1.96,-1.35, 0.59,-1.00
17.00, 0.93, 1.01, 2.89, 1.23,-1.52, 4.00,-0.51,-4.90, 0.27,-7.44, 0.59, 1.00
 9.00, 2.12,-5.92,-1.96,-0.48, 2.53, 8.00, 2.33,-0.22, 0.71, 0.55, 1.00, 1.00
 1.00,-2.33, 0.89,-4.36, 0.59,-0.97,14.00, 1.36, 0.22, 4.73, 1.35,-3.56,-5.00
10.00,-0.62, 3.18, 1.05, 0.26,-0.62,17.00, 1.01, 2.89, 1.23,-1.52, 0.21,-1.00
 8.00,-2.72, 2.33,-0.22, 0.71, 0.55, 6.00, 1.55,-4.16, 1.72,-2.89, 0.65,-2.00
 1.00,-2.83,-2.33, 0.89,-4.36, 0.59,14.00, 2.35, 0.63, 0.46, 0.28, 0.95, 0.00
 2.00,-1.55,-2.12,-0.46,-4.73,-0.59,13.00, 0.62, 0.88, 3.30, 0.29, 7.44, 3.00
 9.00,-0.53,-0.93,-0.62, 3.18, 1.05, 4.00,-1.52,-0.51,-4.90, 0.27,-7.44, 4.00
 3.00, 1.10, 4.16,-3.30, 1.32,-4.95, 5.00, 0.53, 0.51, 0.94,-0.28,-0.65, 1.00
18.00, 1.36, 1.47, 5.92, 4.36,-0.55,11.00, 0.90,-0.23, 0.62,-0.27,-1.23, 4.00
15.00, 2.83, 1.36, 0.22, 4.73, 1.35,10.00, 2.72, 2.12,-5.92,-1.96,-0.48, 0.00
 7.00,-2.35, 0.23, 0.30,-0.29, 0.48,16.00,-0.21, 0.51, 4.90,-3.18, 4.95,-2.00
12.00, 0.21,-0.88, 1.07, 1.96,-1.35,17.00, 1.52, 0.93, 1.01, 2.89, 1.23, 0.00
10.00,-2.56, 0.90,-0.23, 0.62,-0.27,12.00, 1.08, 0.21,-0.88, 1.07, 1.96, 1.00
 2.00,-4.51,-1.52,-0.51,-4.90, 0.27, 4.00, 6.88, 1.10, 4.16,-3.30, 1.32, 0.00
11.00, 0.60, 2.72, 2.12,-5.92,-1.96, 1.00, 0.65,-2.83,-2.33, 0.89,-4.36, 0.00
14.00, 1.24, 2.35, 0.63, 0.46, 0.28,18.00, 2.56, 1.36, 1.47, 5.92, 4.36,-3.00
13.00,-1.67, 0.62, 0.88, 3.30, 0.29, 7.00,-0.48,-2.72, 2.33,-0.22, 0.71,-1.00
16.00, 0.46,-0.21, 0.51, 4.90,-3.18, 3.00, 1.67,-1.55,-2.12,-0.46,-4.73, 1.00
17.00, 0.93, 1.52, 0.93, 1.01, 2.89,15.00, 1.35, 2.83, 1.36, 0.22, 4.73,-3.00
 5.00,-6.88, 0.53, 0.51, 0.94,-0.28, 6.00,-0.46,-2.35, 0.23, 0.30,-0.29, 3.00
 8.00, 0.48, 1.55,-4.16, 1.72,-2.89, 9.00, 4.51,-0.53,-0.93,-0.62, 3.18, 0.00
 5.00, 0.51, 0.94,-0.28,-0.65, 0.84,10.00,-0.93,-0.62, 3.18, 1.05, 0.26, 1.00
 4.00, 0.98, 6.88, 1.10, 4.16,-3.30,17.00,-0.51, 0.93, 1.52, 0.93, 1.01,-2.00
18.00, 6.24, 2.56, 1.36, 1.47, 5.92, 6.00, 1.21,-6.88, 0.53, 0.51, 0.94, 1.00
11.00,-2.29, 1.08, 0.21,-0.88, 1.07, 9.00, 1.26, 4.51,-0.53,-0.93,-0.62, 1.00
 1.00, 0.30, 0.65,-2.83,-2.33, 0.89, 7.00, 0.73, 0.48, 1.55,-4.16, 1.72,-2.00
 5.00,-1.21,-0.46,-2.35, 0.23, 0.30, 3.00, 1.02,-4.51,-1.52,-0.51,-4.90, 4.00
 2.00,-3.04, 1.67,-1.55,-2.12,-0.46,12.00, 2.29,-2.56, 0.90,-0.23, 0.62,-3.00
 8.00, 1.59,-0.48,-2.72, 2.33,-0.22,16.00, 3.04, 0.46,-0.21, 0.51, 4.90, 0.00
10.00, 1.55, 0.60, 2.72, 2.12,-5.92,14.00,-6.24, 1.24, 2.35, 0.63, 0.46,-1.00
15.00, 0.51, 1.35, 2.83, 1.36, 0.22,13.00,-1.59,-1.67, 0.62, 0.88, 3.30, 3.00
 5.00,-2.20, 1.21,-6.88, 0.53, 0.51, 2.00,-4.73,-3.04, 1.67,-1.55,-2.12,-1.00
17.00, 1.39,-0.51, 0.93, 1.52, 0.93, 6.00, 2.21,-1.21,-0.46,-2.35, 0.23, 5.00
14.00, 0.48,-6.24, 1.24, 2.35, 0.63, 7.00, 1.11, 1.59,-0.48,-2.72, 2.33, 3.00
 9.00,-1.47, 1.26, 4.51,-0.53,-0.93, 4.00,-1.39, 0.98, 6.88, 1.10, 4.16, 0.00
 8.00, 3.76, 0.73, 0.48, 1.55,-4.16,11.00, 1.47,-2.29, 1.08, 0.21,-0.88,-2.00
 3.00,-2.21, 1.02,-4.51,-1.52,-0.51,18.00, 2.20, 6.24, 2.56, 1.36, 1.47,-3.00
13.00,-2.94,-1.59,-1.67, 0.62, 0.88, 1.00,-3.76, 0.30, 0.65,-2.83,-2.33, 0.00
12.00, 4.73, 2.29,-2.56, 0.90,-0.23,10.00,-0.48, 1.55, 0.60, 2.72, 2.12, 2.00
16.00, 0.90, 3.04, 0.46,-0.21, 0.51,15.00, 2.94, 0.51, 1.35, 2.83, 1.36,-1.00
 6.00,-1.11, 2.21,-1.21,-0.46,-2.35,10.00, 1.00,-1.47, 1.26, 4.51,-0.53, 5.00
